CreditScore,Geography,Gender,Age,Tenure, Balance ,NumOfProducts,HasCrCard,IsActiveMember, EstimatedSalary ,Engagement score
619,France,Female,42,2, € -   ,1,1,1,"€ 1,01,348.88",50.00%
608,Spain,Female,41,1,"€ 83,807.86",1,0,1,"€ 1,12,542.58",100.00%
502,France,Female,42,8,"€ 1,59,660.80",3,1,0,"€ 1,13,931.57",0.00%
699,France,Female,39,1, € -   ,2,0,0,"€ 93,826.63",0.00%
850,Spain,Female,43,2,"€ 1,25,510.82",1,1,1,"€ 79,084.10",50.00%
645,Spain,Male,44,8,"€ 1,13,755.78",2,1,0,"€ 1,49,756.71",0.00%
822,France,Male,50,7, € -   ,2,1,1,"€ 10,062.80",28.57%
376,Germany,Female,29,4,"€ 1,15,046.74",4,1,0,"€ 1,19,346.88",0.00%
501,France,Male,44,4,"€ 1,42,051.07",2,0,1,"€ 74,940.50",50.00%
684,France,Male,27,2,"€ 1,34,603.88",1,1,1,"€ 71,725.73",50.00%
528,France,Male,31,6,"€ 1,02,016.72",2,0,0,"€ 80,181.12",0.00%
497,Spain,Male,24,3, € -   ,2,1,0,"€ 76,390.01",0.00%
476,France,Female,34,10, € -   ,2,1,0,"€ 26,260.98",0.00%
549,France,Female,25,5, € -   ,2,0,0,"€ 1,90,857.79",0.00%
635,Spain,Female,35,7, € -   ,2,1,1,"€ 65,951.65",28.57%
616,Germany,Male,45,3,"€ 1,43,129.41",2,0,1,"€ 64,327.26",66.67%
653,Germany,Male,58,1,"€ 1,32,602.88",1,1,0,"€ 5,097.67",0.00%
549,Spain,Female,24,9, € -   ,2,1,1,"€ 14,406.41",22.22%
587,Spain,Male,45,6, € -   ,1,0,0,"€ 1,58,684.81",0.00%
726,France,Female,24,6, € -   ,2,1,1,"€ 54,724.03",33.33%
732,France,Male,41,8, € -   ,2,1,1,"€ 1,70,886.17",25.00%
636,Spain,Female,32,8, € -   ,2,1,0,"€ 1,38,555.46",0.00%
510,Spain,Female,38,4, € -   ,1,1,0,"€ 1,18,913.53",0.00%
669,France,Male,46,3, € -   ,2,0,1,"€ 8,487.75",66.67%
846,France,Female,38,5, € -   ,1,1,1,"€ 1,87,616.16",20.00%
577,France,Male,25,3, € -   ,2,0,1,"€ 1,24,508.29",66.67%
756,Germany,Male,36,2,"€ 1,36,815.64",1,1,1,"€ 1,70,041.95",50.00%
571,France,Male,44,9, € -   ,2,0,0,"€ 38,433.35",0.00%
574,Germany,Female,43,3,"€ 1,41,349.43",1,1,1,"€ 1,00,187.43",33.33%
411,France,Male,29,0,"€ 59,697.17",2,1,1,"€ 53,483.21",200.00%
591,Spain,Female,39,3, € -   ,3,1,0,"€ 1,40,469.38",0.00%
533,France,Male,36,7,"€ 85,311.70",1,0,1,"€ 1,56,731.91",14.29%
553,Germany,Male,41,9,"€ 1,10,112.54",2,0,0,"€ 81,898.81",0.00%
520,Spain,Female,42,6, € -   ,2,1,1,"€ 34,410.55",33.33%
722,Spain,Female,29,9, € -   ,2,1,1,"€ 1,42,033.07",22.22%
475,France,Female,45,0,"€ 1,34,264.04",1,1,0,"€ 27,822.99",0.00%
490,Spain,Male,31,3,"€ 1,45,260.23",1,0,1,"€ 1,14,066.77",33.33%
804,Spain,Male,33,7,"€ 76,548.60",1,0,1,"€ 98,453.45",14.29%
850,France,Male,36,7, € -   ,1,1,1,"€ 40,812.90",14.29%
582,Germany,Male,41,6,"€ 70,349.48",2,0,1,"€ 1,78,074.04",33.33%
472,Spain,Male,40,4, € -   ,1,1,0,"€ 70,154.22",0.00%
465,France,Female,51,8,"€ 1,22,522.32",1,0,0,"€ 1,81,297.65",0.00%
556,France,Female,61,2,"€ 1,17,419.35",1,1,1,"€ 94,153.83",50.00%
834,France,Female,49,2,"€ 1,31,394.56",1,0,0,"€ 1,94,365.76",0.00%
660,Spain,Female,61,5,"€ 1,55,931.11",1,1,1,"€ 1,58,338.39",20.00%
776,Germany,Female,32,4,"€ 1,09,421.13",2,1,1,"€ 1,26,517.46",50.00%
829,Germany,Female,27,9,"€ 1,12,045.67",1,1,1,"€ 1,19,708.21",11.11%
637,Germany,Female,39,9,"€ 1,37,843.80",1,1,1,"€ 1,17,622.80",11.11%
550,Germany,Male,38,2,"€ 1,03,391.38",1,0,1,"€ 90,878.13",50.00%
776,Germany,Female,37,2,"€ 1,03,769.22",2,1,0,"€ 1,94,099.12",0.00%
698,Germany,Male,44,10,"€ 1,16,363.37",2,1,0,"€ 1,98,059.16",0.00%
585,Germany,Male,36,5,"€ 1,46,050.97",2,0,0,"€ 86,424.57",0.00%
788,France,Female,33,5, € -   ,2,0,0,"€ 1,16,978.19",0.00%
655,Germany,Male,41,8,"€ 1,25,561.97",1,0,0,"€ 1,64,040.94",0.00%
601,Germany,Male,42,1,"€ 98,495.72",1,1,0,"€ 40,014.76",0.00%
619,France,Male,43,1,"€ 1,25,211.92",1,1,1,"€ 1,13,410.49",100.00%
656,France,Male,45,5,"€ 1,27,864.40",1,1,0,"€ 87,107.57",0.00%
