Scaled score,France ,Spain,Male,Scaled age,Scaled tenure,Scaled balance,NumOfProducts,Product to tenure ratio,IsActiveMember,Scaled salary,Balance to salary ration,Engagement score,Age tenure,Exited
-0.33,1,0,0,0.29,-1.04,-1.23,1,0.5,1,0.02,0,0.5,0.05,1
-1.54,1,0,0,0.29,1.03,1.33,3,0.38,0,0.24,1.4,0,0.19,1
-0.06,0,1,1,0.48,1.03,0.6,2,0.25,0,0.86,0.76,0,0.18,1
-2.84,0,0,0,-0.95,-0.35,0.62,4,1,0,0.33,0.96,0,0.14,1
0.03,0,0,1,1.82,-1.39,0.9,1,1,0,-1.65,26.01,0,0.02,1
-1.45,0,1,0,-0.09,-0.35,-1.23,1,0.25,0,0.33,0,0,0.11,1
-0.62,0,1,0,0.01,-0.7,-1.23,3,1,0,0.7,0,0,0.08,1
-1.82,1,0,0,0.58,-1.73,0.93,1,1,0,-1.26,4.83,0,0,1
-1.92,1,0,0,1.15,1.03,0.74,1,0.13,0,1.41,0.68,0,0.16,1
1.9,1,0,0,0.96,-1.04,0.88,1,0.5,0,1.64,0.68,0,0.04,1
1.85,0,0,0,-1.14,1.38,0.57,1,0.11,1,0.34,0.94,0.11,0.33,1
-0.14,0,0,0,0.01,1.38,0.98,1,0.11,1,0.3,1.17,0.11,0.23,1
0.05,0,0,1,0.2,1.03,0.79,1,0.13,0,1.11,0.77,0,0.2,1
-0.51,0,0,1,0.29,-1.39,0.35,1,1,0,-1.04,2.46,0,0.02,1
-1.44,0,1,0,2.58,-0.35,-1.23,1,0.25,0,-1.71,0,0,0.06,1
0.91,0,0,1,1.82,-1.04,0.92,4,2,0,-1.25,4.71,0,0.03,1
1.31,1,0,0,-0.66,-1.04,-1.23,1,0.5,0,0.63,0,0,0.06,1
1.03,0,1,1,-1.61,-0.7,0.72,1,0.33,0,0.5,0.95,0,0.14,1
-0.05,1,0,0,0.67,-0.35,-1.23,3,0.75,0,-0.12,0,0,0.09,1
-0.04,0,1,0,0.48,0,-1.23,3,0.6,1,1.29,0,0.6,0.11,1
0.2,0,1,0,2.49,-1.39,-1.23,1,1,1,1.35,0,1,0.02,1
-0.3,0,1,0,0.67,-0.35,0.49,2,0.5,1,-1.2,3.46,0.5,0.09,1
-1.77,0,0,1,-0.37,1.38,0.26,1,0.11,0,-0.01,0.93,0,0.26,1
0.73,0,0,1,-1.04,1.38,1.25,2,0.22,1,0.02,1.52,0.22,0.32,1
-1.31,0,0,0,-0.76,1.03,0.5,1,0.13,0,1.73,0.54,0,0.26,1
-2.26,1,0,1,0.29,1.38,1.22,1,0.11,0,0.18,1.38,0,0.21,1
-1.05,1,0,0,1.25,-1.39,-1.23,1,1,1,-1.59,0,1,0.02,1
-0.26,0,0,1,1.63,-1.73,1.15,1,1,0,-0.93,3.17,0,0,1
-0.69,0,1,0,0.87,-1.04,2.19,1,0.5,0,-0.43,2.84,0,0.04,1
-0.74,0,1,0,-0.37,-1.39,0.85,2,2,1,-1.59,15.07,2,0.03,1
1.47,0,1,1,1.25,-1.04,-1.23,1,0.5,0,1.03,0,0,0.04,1
0.42,1,0,0,-0.76,0,-0.57,1,0.2,0,0.45,0.32,0,0.16,1
-1.2,1,0,0,0.87,1.38,-1.23,1,0.11,0,0.87,0,0,0.19,1
0.57,0,1,1,1.72,0.69,-1.23,1,0.14,0,-1.43,0,0,0.12,1
0.34,0,1,1,-0.95,-1.73,0.92,1,1,0,-0.77,2.41,0,0,1
0.55,0,0,0,-1.42,0.69,0.59,1,0.14,0,1.09,0.7,0,0.29,1
0.17,0,1,0,0.01,-1.04,-1.23,2,1,0,-1.03,0,0,0.05,1
-1.76,0,0,1,0.48,1.72,0.85,1,0.1,0,-1.65,23.68,0,0.23,1
1.07,0,0,0,1.53,-0.7,1.36,1,0.33,0,-1.6,20,0,0.05,1
1.59,1,0,0,1.06,-0.35,-1.23,1,0.25,1,-1.59,0,0.25,0.08,1
0.67,1,0,0,0.2,1.03,-0.32,2,0.25,0,-0.12,0.6,0,0.2,1
-1.39,0,1,1,1.06,0,-1.23,1,0.2,1,0.8,0,0.2,0.1,1
0.63,1,0,0,-0.09,-1.04,0.84,2,1,1,-1.49,8.98,1,0.05,1
-0.44,0,1,0,0.2,-0.7,0.21,1,0.33,0,1.73,0.45,0,0.07,1
-0.08,1,0,1,0.58,0,-1.23,1,0.2,0,0.74,0,0,0.11,1
0.18,0,0,1,0.77,0.69,0.49,1,0.14,1,1.01,0.68,0.14,0.15,1
1.62,1,0,1,0.39,-1.39,0.47,2,2,0,-1.13,3.03,0,0.02,1
-0.61,1,0,1,1.44,1.03,-1.23,1,0.13,1,-1.24,0,0.13,0.15,1
2.06,1,0,1,-0.56,1.72,-1.23,1,0.1,0,-1.66,0,0,0.3,1
0.21,0,0,1,0.58,0.34,0.37,1,0.17,1,0.15,0.91,0.17,0.13,1
-1.07,0,0,0,0.01,0.34,-0.03,3,0.5,1,-0.25,0.87,0.5,0.15,1
1.04,0,0,1,1.06,-1.04,0.33,1,0.5,0,-0.4,1.25,0,0.04,1
1.16,0,0,1,0.29,0.34,0.38,1,0.17,0,-1.16,2.99,0,0.14,1
-1.15,0,0,0,0.39,-0.7,0.64,3,1,0,-0.77,2.08,0,0.07,1
0.18,1,0,0,0.67,-1.04,-1.23,3,1.5,0,-0.19,0,0,0.04,1
0.09,0,0,1,2.68,0.34,0.66,1,0.17,1,-0.96,2.61,0.17,0.09,1
-0.16,1,0,0,0.1,1.72,0.75,1,0.1,0,0.55,0.94,0,0.25,1
0.92,0,0,1,1.44,1.03,0.8,1,0.13,0,0.6,0.94,0,0.15,1
-1.05,0,1,0,0.01,0.69,-1.23,1,0.14,0,-0.33,0,0,0.18,1
0.85,0,0,1,-0.47,-0.7,0.38,3,1,0,-0.9,2.07,0,0.09,1
1.09,1,0,1,2.2,-0.7,-1.23,1,0.33,1,-1.55,0,0.33,0.05,1
0.66,1,0,1,0.67,-1.39,-1.23,1,1,0,0.91,0,0,0.02,1
-1.77,0,0,1,-0.37,-0.35,1,1,0.25,1,-0.92,2.94,0.25,0.11,1
1.03,0,1,0,-0.47,1.38,0.58,1,0.11,0,0.87,0.75,0,0.26,1
0.38,0,1,0,0.48,0.69,-1.23,3,0.43,0,0.97,0,0,0.16,1
0.83,1,0,1,0.39,-1.04,-1.23,1,0.5,1,1.22,0,0.5,0.05,1
-0.38,1,0,1,1.06,-0.35,0.97,1,0.25,0,0.47,1.08,0,0.08,1
-0.95,1,0,1,0.96,-1.04,1.13,1,0.5,0,0.36,1.22,0,0.04,1
1.02,1,0,1,0.1,-1.39,1.01,1,1,0,1.44,0.76,0,0.03,1
-0.07,1,0,0,0.67,1.38,0.3,1,0.11,0,0.15,0.88,0,0.2,1
-0.69,0,0,0,-0.85,1.03,0.57,1,0.13,0,1.35,0.63,0,0.27,1
